 double in,bool negative_flag,bool positive_flag, bool DU
-923,0,0,0
26072,1,0,1
-9444,0,0,0
20373,1,0,1
-14066,0,0,0
-25135,1,0,1
11794,1,0,1
7216,0,0,0
-11131,0,0,0
13142,1,0,1
-20529,0,0,0
15865,1,0,1
-6571,0,0,0
-15961,1,0,1
23721,1,0,1
-20356,0,0,0
14990,1,0,1
1210,0,0,0
-8085,0,0,0
-18045,1,0,1
-13294,1,0,1
-8347,1,0,1
27927,1,0,1
-25384,0,0,0
6458,1,0,1
-15863,0,0,0
11135,1,0,1
-11590,0,0,0
32046,1,0,1
-16744,0,0,0
2341,1,0,1
21820,0,0,0
-26781,0,0,0
2323,1,0,1
12809,0,0,0
823,0,0,0
6814,0,0,0
7113,0,0,0
17907,0,0,0
-23326,0,0,0
-12454,1,0,1
-31584,1,0,1
-14379,1,0,1
23458,1,0,1
-15985,0,0,0
2330,1,0,1
22623,0,0,0
-16234,0,0,0
24400,1,0,1
3408,0,0,0
18457,0,0,0
3552,0,0,0
28428,0,0,0
-14706,0,0,0
24572,1,0,1
-8231,0,0,0
28058,1,0,1
-991,0,0,0
21315,1,0,1
-5659,0,0,0
17694,1,0,1
-18075,0,0,0
-5581,1,0,1
7158,1,0,1
-4046,0,0,0
3166,1,0,1
8943,0,0,0
32447,0,0,0
-2057,0,0,0
-28367,1,0,1
-552,1,0,1
14542,1,0,1
8534,0,0,0
3464,0,0,0
30254,0,0,0
-20250,0,0,0
-27336,1,0,1
-9939,1,0,1
-10362,1,0,1
-369,1,0,1
-16736,1,0,1
-25834,1,0,1
22156,1,0,1
-14958,0,0,0
-24323,1,0,1
6436,1,0,1
-21545,0,0,0
19443,1,0,1
15432,0,0,0
20397,0,0,0
28910,0,0,0
-10006,0,0,0
12403,1,0,1
-3339,0,0,0
-21683,1,0,1
9714,1,0,1
-11139,0,0,0
17393,1,0,1
3449,0,0,0
-786,0,0,0
1558,1,0,1
7773,0,0,0
-9424,0,0,0
-24630,1,0,1
12876,1,0,1
13297,0,0,0
-15917,0,0,0
-8000,1,0,1
-18295,1,0,1
12378,1,0,1
-29824,0,0,0
4945,1,0,1
21526,0,0,0
-9617,0,0,0
28652,1,0,1
12036,0,0,0
-4832,0,0,0
18030,1,0,1
-766,0,0,0
-10394,1,0,1
-17965,1,0,1
27348,1,0,1
8418,0,0,0
18110,0,0,0
-19222,0,0,0
-28372,1,0,1
2925,1,0,1
25724,0,0,0
-20837,0,0,0
-29411,1,0,1
8689,1,0,1
26279,0,0,0
27448,0,0,0
14778,0,0,0
25213,0,0,0
29874,0,0,0
8598,0,0,0
19738,0,0,0
5027,0,0,0
31810,0,0,0
-5498,0,0,0
-7839,1,0,1
16060,1,0,1
-17965,0,0,0
-5547,1,0,1
-14601,1,0,1
32094,1,0,1
-15635,0,0,0
21172,1,0,1
-19739,0,0,0
420,1,0,1
-13097,0,0,0
-13189,1,0,1
24191,1,0,1
-12078,0,0,0
-30946,1,0,1
-30917,1,0,1
-3085,1,0,1
-8247,1,0,1
-30003,1,0,1
-10079,1,0,1
15285,1,0,1
-3550,0,0,0
3234,1,0,1
-24026,0,0,0
12154,1,0,1
26683,0,0,0
18391,0,0,0
-23242,0,0,0
24060,1,0,1
19313,0,0,0
21862,0,0,0
-2235,0,0,0
-20233,1,0,1
13897,1,0,1
-19737,0,0,0
1281,1,0,1
9851,0,0,0
-16173,0,0,0
29647,1,0,1
15307,0,0,0
12761,0,0,0
-20969,0,0,0
-22776,1,0,1
12422,1,0,1
21574,0,0,0
-11220,0,0,0
-9990,1,0,1
21680,1,0,1
2363,0,0,0
-18402,0,0,0
24513,1,0,1
11661,0,0,0
4487,0,0,0
-11639,0,0,0
10058,1,0,1
-23662,0,0,0
-11640,1,0,1
20147,1,0,1
7592,0,0,0
24333,0,0,0
-21659,0,0,0
-10683,1,0,1
-6494,1,0,1
30746,1,0,1
24961,0,0,0
22473,0,0,0
2088,0,0,0
18856,0,0,0
4246,0,0,0
15745,0,0,0
-27843,0,0,0
23449,1,0,1
-4136,0,0,0
-7557,1,0,1
-29916,1,0,1
-10899,1,0,1
-31007,1,0,1
29225,1,0,1
16796,0,0,0
-11420,0,0,0
-5526,1,0,1
-25847,1,0,1
-30197,1,0,1
-1261,1,0,1
1625,1,0,1
6494,0,0,0
-25135,0,0,0
1678,1,0,1
-19214,0,0,0
19631,1,0,1
-20530,0,0,0
-21842,1,0,1
-17934,1,0,1
26239,1,0,1
20910,0,0,0
10904,0,0,0
-27748,0,0,0
959,1,0,1
-2206,0,0,0
29624,1,0,1
-8793,0,0,0
-6150,1,0,1
-21541,1,0,1
8766,1,0,1
1225,0,0,0
1695,0,0,0
-32434,0,0,0
-2511,1,0,1
-3251,1,0,1
-9608,1,0,1
-5637,1,0,1
-19381,1,0,1
12179,1,0,1
-9438,0,0,0
-30917,1,0,1
-21711,1,0,1
-25226,1,0,1
29775,1,0,1
-25743,0,0,0
1696,1,0,1
8676,0,0,0
-23957,0,0,0
-25116,1,0,1
14846,1,0,1
-24389,0,0,0
-6642,1,0,1
-4961,1,0,1
-15487,1,0,1
23601,1,0,1
12063,0,0,0
7540,0,0,0
-23417,0,0,0
-708,1,0,1
-26646,1,0,1
30373,1,0,1
-9294,0,0,0
-25713,1,0,1
19081,1,0,1
-15493,0,0,0
-26521,1,0,1
23405,1,0,1
-7924,0,0,0
-6495,1,0,1
-9304,1,0,1
12537,1,0,1
19274,0,0,0
-14236,0,0,0
27275,1,0,1
-22596,0,0,0
-13991,1,0,1
-8638,1,0,1
14492,1,0,1
32393,0,0,0
-32306,0,0,0
-5205,1,0,1
-24932,1,0,1
13441,1,0,1
-26038,0,0,0
-20275,1,0,1
21541,1,0,1
-27812,0,0,0
8596,1,0,1
-20662,0,0,0
-15385,1,0,1
-7195,1,0,1
10245,1,0,1
26987,0,0,0
22749,0,0,0
-27811,0,0,0
-32326,1,0,1
-2619,1,0,1
20949,1,0,1
776,0,0,0
16417,0,0,0
29988,0,0,0
-3171,0,0,0
-15313,1,0,1
-21411,1,0,1
8337,1,0,1
28169,0,0,0
20719,0,0,0
-7830,0,0,0
-28588,1,0,1
-1728,1,0,1
27373,1,0,1
-14557,0,0,0
-3000,1,0,1
-24292,1,0,1
-29337,1,0,1
-14248,1,0,1
9035,1,0,1
-21111,0,0,0
13625,1,0,1
30351,0,0,0
-15949,0,0,0
27865,1,0,1
-24997,0,0,0
-1906,1,0,1
31727,1,0,1
-16514,0,0,0
11012,1,0,1
-16395,0,0,0
-11188,1,0,1
23842,1,0,1
-10543,0,0,0
-2514,1,0,1
7869,1,0,1
-23217,0,0,0
-24909,1,0,1
-23208,1,0,1
-4755,1,0,1
-22364,1,0,1
24417,1,0,1
15403,0,0,0
-8276,0,0,0
-29979,1,0,1
12545,1,0,1
20777,0,0,0
28443,0,0,0
-28574,0,0,0
29289,1,0,1
-25512,0,0,0
22331,1,0,1
15329,0,0,0
2076,0,0,0
18660,0,0,0
23879,0,0,0
2799,0,0,0
-28320,0,0,0
14331,1,0,1
-2227,0,0,0
-504,1,0,1
22499,1,0,1
-13910,0,0,0
-7313,1,0,1
-9313,1,0,1
6976,1,0,1
-13142,0,0,0
2970,1,0,1
-9136,0,0,0
3898,1,0,1
20500,0,0,0
11633,0,0,0
-8150,0,0,0
-31391,1,0,1
20674,1,0,1
-5679,0,0,0
7059,1,0,1
-6503,0,0,0
4347,1,0,1
-31815,0,0,0
30765,1,0,1
1430,0,0,0
-24801,0,0,0
-15319,1,0,1
12719,1,0,1
6180,0,0,0
-26627,0,0,0
-26562,1,0,1
7909,1,0,1
16328,0,0,0
-23245,0,0,0
-20751,1,0,1
-11090,1,0,1
25514,1,0,1
-4549,0,0,0
27029,1,0,1
20220,0,0,0
-11374,0,0,0
3944,1,0,1
7187,0,0,0
-14470,0,0,0
26040,1,0,1
-27739,0,0,0
21493,1,0,1
29145,0,0,0
2890,0,0,0
-25071,0,0,0
4462,1,0,1
-14780,0,0,0
-25652,1,0,1
6287,1,0,1
69,0,0,0
26843,0,0,0
-9183,0,0,0
-2601,1,0,1
-17032,1,0,1
22447,1,0,1
29906,0,0,0
-11640,0,0,0
-19445,1,0,1
-984,1,0,1
-17789,1,0,1
15810,1,0,1
-20293,0,0,0
-18733,1,0,1
3647,1,0,1
19870,0,0,0
-1607,0,0,0
-23631,1,0,1
29648,1,0,1
23983,0,0,0
-16071,0,0,0
13616,1,0,1
10122,0,0,0
-5897,0,0,0
22942,1,0,1
-10,0,0,0
22780,1,0,1
19975,0,0,0
20165,0,0,0
26385,0,0,0
194,0,0,0
-6317,0,0,0
-17846,1,0,1
8024,1,0,1
-7333,0,0,0
19295,1,0,1
-13006,0,0,0
11327,1,0,1
23370,0,0,0
-32724,0,0,0
-24651,1,0,1
15599,1,0,1
12303,0,0,0
-10006,0,0,0
13387,1,0,1
-26265,0,0,0
4556,1,0,1
-11261,0,0,0
-5878,1,0,1
19364,1,0,1
22364,0,0,0
18767,0,0,0
1270,0,0,0
17492,0,0,0
23411,0,0,0
-19953,0,0,0
25618,1,0,1
5826,0,0,0
-20165,0,0,0
-20137,1,0,1
10754,1,0,1
922,0,0,0
-10312,0,0,0
30279,1,0,1
7659,0,0,0
27635,0,0,0
29151,0,0,0
-5437,0,0,0
-29366,1,0,1
27652,1,0,1
18395,0,0,0
9615,0,0,0
-5000,0,0,0
10407,1,0,1
-27514,0,0,0
5195,1,0,1
6678,0,0,0
26090,0,0,0
-24218,0,0,0
-14878,1,0,1
-15781,1,0,1
-7631,1,0,1
-23878,1,0,1
-31148,1,0,1
-14053,1,0,1
1211,1,0,1
-15712,0,0,0
3152,1,0,1
18713,0,0,0
-31052,0,0,0
-21594,1,0,1
-515,1,0,1
-21606,1,0,1
-11399,1,0,1
-387,1,0,1
-9067,1,0,1
-1599,1,0,1
7903,1,0,1
-13358,0,0,0
21014,1,0,1
10886,0,0,0
1505,0,0,0
-26672,0,0,0
-30639,1,0,1
20418,1,0,1
-14187,0,0,0
12269,1,0,1
6238,0,0,0
-26317,0,0,0
-20562,1,0,1
18458,1,0,1
-135,0,0,0
-1394,1,0,1
30839,1,0,1
-21939,0,0,0
-25761,1,0,1
6081,1,0,1
-8365,0,0,0
-26650,1,0,1
-9658,1,0,1
-13498,1,0,1
8910,1,0,1
-4672,0,0,0
20782,1,0,1
-22964,0,0,0
