double in_og; double in;bool negative_flag;bool positive_flag; bool DU
568;568;0;1;1
39018;-26518;0;1;1
51269;-14267;0;0;0
37203;-28333;0;0;0
52924;-12612;0;0;0
30794;30794;0;0;0
44201;-21335;0;1;1
48646;-16890;0;0;0
10025;10025;0;0;0
7871;7871;0;1;1
39955;-25581;0;1;1
30204;30204;0;0;0
56569;-8967;0;1;1
20305;20305;0;0;0
28760;28760;0;1;1
25595;25595;0;1;1
11658;11658;0;1;1
58499;-7037;0;1;1
33008;-32528;0;0;0
23985;23985;0;0;0
48941;-16595;0;1;1
43401;-22135;0;0;0
4038;4038;0;0;0
25674;25674;0;1;1
21783;21783;0;1;1
59763;-5773;0;1;1
15583;15583;0;0;0
45246;-20290;0;1;1
58435;-7101;0;0;0
57338;-8198;0;0;0
44216;-21320;0;0;0
18943;18943;0;0;0
61763;-3773;0;1;1
9105;9105;0;0;0
33785;-31751;0;1;1
12978;12978;0;0;0
63011;-2525;0;1;1
36967;-28569;0;0;0
63264;-2272;0;0;0
25634;25634;0;0;0
33607;-31929;0;1;1
5213;5213;0;0;0
10093;10093;0;1;1
23470;23470;0;1;1
34628;-30908;0;1;1
24929;24929;0;0;0
61388;-4148;0;1;1
42610;-22926;0;0;0
48705;-16831;0;0;0
28021;28021;0;0;0
20168;20168;0;1;1
36734;-28802;0;1;1
5074;5074;0;0;0
61852;-3684;0;1;1
47481;-18055;0;0;0
59309;-6227;0;0;0
40438;-25098;0;0;0
7022;7022;0;0;0
25043;25043;0;1;1
18314;18314;0;1;1
2655;2655;0;1;1
33334;-32202;0;1;1
45909;-19627;0;0;0
34645;-30891;0;0;0
4227;4227;0;0;0
4870;4870;0;1;1
62809;-2727;0;1;1
32721;32721;0;0;0
35624;-29912;0;1;1
24458;24458;0;0;0
14378;14378;0;1;1
15046;15046;0;1;1
30873;30873;0;1;1
54647;-10889;0;1;1
13045;13045;0;0;0
41958;-23578;0;1;1
21088;21088;0;0;0
13958;13958;0;1;1
18831;18831;0;1;1
6074;6074;0;1;1
27341;27341;0;1;1
64613;-923;0;1;1
26072;26072;0;0;0
56092;-9444;0;1;1
20373;20373;0;0;0
51470;-14066;0;1;1
40401;-25135;0;0;0
11794;11794;0;0;0
7216;7216;0;1;1
54405;-11131;0;1;1
13142;13142;0;0;0
45007;-20529;0;1;1
15865;15865;0;0;0
58965;-6571;0;1;1
49575;-15961;0;0;0
23721;23721;0;0;0
45180;-20356;0;1;1
14990;14990;0;0;0
1210;1210;0;1;1
57451;-8085;0;1;1
47491;-18045;0;0;0
52242;-13294;0;0;0
57189;-8347;0;0;0
27927;27927;0;0;0
40152;-25384;0;1;1
6458;6458;0;0;0
49673;-15863;0;1;1
11135;11135;0;0;0
53946;-11590;0;1;1
32046;32046;0;0;0
48792;-16744;0;1;1
2341;2341;0;0;0
21820;21820;0;1;1
38755;-26781;0;1;1
2323;2323;0;0;0
12809;12809;0;1;1
823;823;0;1;1
6814;6814;0;1;1
7113;7113;0;1;1
17907;17907;0;1;1
42210;-23326;0;1;1
53082;-12454;0;0;0
33952;-31584;0;0;0
51157;-14379;0;0;0
23458;23458;0;0;0
49551;-15985;0;1;1
2330;2330;0;0;0
22623;22623;0;1;1
49302;-16234;0;1;1
24400;24400;0;0;0
3408;3408;0;1;1
18457;18457;0;1;1
3552;3552;0;1;1
28428;28428;0;1;1
50830;-14706;0;1;1
24572;24572;0;0;0
57305;-8231;0;1;1
28058;28058;0;0;0
64545;-991;0;1;1
21315;21315;0;0;0
59877;-5659;0;1;1
17694;17694;0;0;0
47461;-18075;0;1;1
59955;-5581;0;0;0
7158;7158;0;0;0
61490;-4046;0;1;1
3166;3166;0;0;0
8943;8943;0;1;1
32447;32447;0;1;1
63479;-2057;0;1;1
37169;-28367;0;0;0
64984;-552;0;0;0
14542;14542;0;0;0
8534;8534;0;1;1
3464;3464;0;1;1
30254;30254;0;1;1
45286;-20250;0;1;1
38200;-27336;0;0;0
55597;-9939;0;0;0
55174;-10362;0;0;0
65167;-369;0;0;0
48800;-16736;0;0;0
39702;-25834;0;0;0
22156;22156;0;0;0
50578;-14958;0;1;1
41213;-24323;0;0;0
6436;6436;0;0;0
43991;-21545;0;1;1
19443;19443;0;0;0
15432;15432;0;1;1
20397;20397;0;1;1
28910;28910;0;1;1
55530;-10006;0;1;1
12403;12403;0;0;0
62197;-3339;0;1;1
43853;-21683;0;0;0
9714;9714;0;0;0
54397;-11139;0;1;1
17393;17393;0;0;0
3449;3449;0;1;1
64750;-786;0;1;1
1558;1558;0;0;0
7773;7773;0;1;1
56112;-9424;0;1;1
40906;-24630;0;0;0
12876;12876;0;0;0
13297;13297;0;1;1
49619;-15917;0;1;1
57536;-8000;0;0;0
47241;-18295;0;0;0
12378;12378;0;0;0
35712;-29824;0;1;1
4945;4945;0;0;0
21526;21526;0;1;1
55919;-9617;0;1;1
28652;28652;0;0;0
12036;12036;0;1;1
60704;-4832;0;1;1
18030;18030;0;0;0
64770;-766;0;1;1
55142;-10394;0;0;0
47571;-17965;0;0;0
27348;27348;0;0;0
8418;8418;0;1;1
18110;18110;0;1;1
46314;-19222;0;1;1
37164;-28372;0;0;0
2925;2925;0;0;0
25724;25724;0;1;1
44699;-20837;0;1;1
36125;-29411;0;0;0
8689;8689;0;0;0
26279;26279;0;1;1
27448;27448;0;1;1
14778;14778;0;1;1
25213;25213;0;1;1
29874;29874;0;1;1
8598;8598;0;1;1
19738;19738;0;1;1
5027;5027;0;1;1
31810;31810;0;1;1
60038;-5498;0;1;1
57697;-7839;0;0;0
16060;16060;0;0;0
47571;-17965;0;1;1
59989;-5547;0;0;0
50935;-14601;0;0;0
32094;32094;0;0;0
49901;-15635;0;1;1
21172;21172;0;0;0
45797;-19739;0;1;1
420;420;0;0;0
52439;-13097;0;1;1
52347;-13189;0;0;0
24191;24191;0;0;0
53458;-12078;0;1;1
34590;-30946;0;0;0
34619;-30917;0;0;0
62451;-3085;0;0;0
57289;-8247;0;0;0
35533;-30003;0;0;0
55457;-10079;0;0;0
15285;15285;0;0;0
61986;-3550;0;1;1
3234;3234;0;0;0
41510;-24026;0;1;1
12154;12154;0;0;0
26683;26683;0;1;1
18391;18391;0;1;1
42294;-23242;0;1;1
24060;24060;0;0;0
19313;19313;0;1;1
21862;21862;0;1;1
63301;-2235;0;1;1
45303;-20233;0;0;0
13897;13897;0;0;0
45799;-19737;0;1;1
1281;1281;0;0;0
9851;9851;0;1;1
49363;-16173;0;1;1
29647;29647;0;0;0
15307;15307;0;1;1
12761;12761;0;1;1
44567;-20969;0;1;1
42760;-22776;0;0;0
12422;12422;0;0;0
21574;21574;0;1;1
54316;-11220;0;1;1
55546;-9990;0;0;0
21680;21680;0;0;0
2363;2363;0;1;1
47134;-18402;0;1;1
24513;24513;0;0;0
11661;11661;0;1;1
4487;4487;0;1;1
53897;-11639;0;1;1
10058;10058;0;0;0
41874;-23662;0;1;1
53896;-11640;0;0;0
20147;20147;0;0;0
7592;7592;0;1;1
24333;24333;0;1;1
43877;-21659;0;1;1
54853;-10683;0;0;0
59042;-6494;0;0;0
30746;30746;0;0;0
24961;24961;0;1;1
22473;22473;0;1;1
2088;2088;0;1;1
18856;18856;0;1;1
4246;4246;0;1;1
15745;15745;0;1;1
37693;-27843;0;1;1
23449;23449;0;0;0
61400;-4136;0;1;1
57979;-7557;0;0;0
35620;-29916;0;0;0
54637;-10899;0;0;0
34529;-31007;0;0;0
29225;29225;0;0;0
16796;16796;0;1;1
54116;-11420;0;1;1
60010;-5526;0;0;0
39689;-25847;0;0;0
35339;-30197;0;0;0
64275;-1261;0;0;0
1625;1625;0;0;0
6494;6494;0;1;1
40401;-25135;0;1;1
1678;1678;0;0;0
46322;-19214;0;1;1
19631;19631;0;0;0
45006;-20530;0;1;1
43694;-21842;0;0;0
47602;-17934;0;0;0
26239;26239;0;0;0
20910;20910;0;1;1
10904;10904;0;1;1
37788;-27748;0;1;1
959;959;0;0;0
63330;-2206;0;1;1
29624;29624;0;0;0
56743;-8793;0;1;1
59386;-6150;0;0;0
43995;-21541;0;0;0
8766;8766;0;0;0
1225;1225;0;1;1
1695;1695;0;1;1
33102;-32434;0;1;1
63025;-2511;0;0;0
62285;-3251;0;0;0
55928;-9608;0;0;0
59899;-5637;0;0;0
46155;-19381;0;0;0
12179;12179;0;0;0
56098;-9438;0;1;1
34619;-30917;0;0;0
43825;-21711;0;0;0
40310;-25226;0;0;0
29775;29775;0;0;0
39793;-25743;0;1;1
1696;1696;0;0;0
8676;8676;0;1;1
41579;-23957;0;1;1
40420;-25116;0;0;0
14846;14846;0;0;0
41147;-24389;0;1;1
58894;-6642;0;0;0
60575;-4961;0;0;0
50049;-15487;0;0;0
23601;23601;0;0;0
12063;12063;0;1;1
7540;7540;0;1;1
42119;-23417;0;1;1
64828;-708;0;0;0
38890;-26646;0;0;0
30373;30373;0;0;0
56242;-9294;0;1;1
39823;-25713;0;0;0
19081;19081;0;0;0
50043;-15493;0;1;1
39015;-26521;0;0;0
23405;23405;0;0;0
57612;-7924;0;1;1
59041;-6495;0;0;0
56232;-9304;0;0;0
12537;12537;0;0;0
19274;19274;0;1;1
51300;-14236;0;1;1
27275;27275;0;0;0
42940;-22596;0;1;1
51545;-13991;0;0;0
56898;-8638;0;0;0
14492;14492;0;0;0
32393;32393;0;1;1
33230;-32306;0;1;1
60331;-5205;0;0;0
40604;-24932;0;0;0
13441;13441;0;0;0
39498;-26038;0;1;1
45261;-20275;0;0;0
21541;21541;0;0;0
37724;-27812;0;1;1
8596;8596;0;0;0
44874;-20662;0;1;1
50151;-15385;0;0;0
58341;-7195;0;0;0
10245;10245;0;0;0
26987;26987;0;1;1
22749;22749;0;1;1
37725;-27811;0;1;1
33210;-32326;0;0;0
62917;-2619;0;0;0
20949;20949;0;0;0
776;776;0;1;1
16417;16417;0;1;1
29988;29988;0;1;1
62365;-3171;0;1;1
50223;-15313;0;0;0
44125;-21411;0;0;0
8337;8337;0;0;0
28169;28169;0;1;1
20719;20719;0;1;1
57706;-7830;0;1;1
36948;-28588;0;0;0
63808;-1728;0;0;0
27373;27373;0;0;0
50979;-14557;0;1;1
62536;-3000;0;0;0
41244;-24292;0;0;0
36199;-29337;0;0;0
51288;-14248;0;0;0
9035;9035;0;0;0
44425;-21111;0;1;1
13625;13625;0;0;0
30351;30351;0;1;1
49587;-15949;0;1;1
27865;27865;0;0;0
40539;-24997;0;1;1
63630;-1906;0;0;0
31727;31727;0;0;0
49022;-16514;0;1;1
11012;11012;0;0;0
49141;-16395;0;1;1
54348;-11188;0;0;0
23842;23842;0;0;0
54993;-10543;0;1;1
63022;-2514;0;0;0
7869;7869;0;0;0
42319;-23217;0;1;1
40627;-24909;0;0;0
42328;-23208;0;0;0
60781;-4755;0;0;0
43172;-22364;0;0;0
24417;24417;0;0;0
15403;15403;0;1;1
57260;-8276;0;1;1
35557;-29979;0;0;0
12545;12545;0;0;0
20777;20777;0;1;1
28443;28443;0;1;1
36962;-28574;0;1;1
29289;29289;0;0;0
40024;-25512;0;1;1
22331;22331;0;0;0
15329;15329;0;1;1
2076;2076;0;1;1
18660;18660;0;1;1
23879;23879;0;1;1
2799;2799;0;1;1
37216;-28320;0;1;1
14331;14331;0;0;0
63309;-2227;0;1;1
65032;-504;0;0;0
22499;22499;0;0;0
51626;-13910;0;1;1
58223;-7313;0;0;0
