uint32_t BSY,uint32_t Drdy,uint32_t Dvld,uint32_t EN,uint32_t EncDec,uint32_t Krdy,uint32_t Kvld,uint32_t RSTn
0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1
0,0,0,1,0,0,0,1
0,1,0,1,1,0,0,1
0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1
0,0,0,1,0,0,0,1
0,1,0,1,1,0,0,1
0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1
