int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
8,45155,49969,0,0,0
34,45529,16,45529,1,0
9,51801,27,0,0,0
28,39197,26565,1,1,0
