int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,1,177,216,0,0,3
1,0,0,177,81,0,0,2
1,0,1,177,81,0,0,2
1,0,0,177,177,0,0,1
1,0,0,177,177,0,0,1
1,0,1,177,177,0,0,1
1,0,0,177,120,0,1,0
1,0,0,177,120,0,1,0
1,0,0,177,120,0,1,0
1,0,0,177,120,0,1,0
1,0,0,177,120,0,1,0
1,1,0,84,120,0,1,0
1,0,0,84,84,0,0,1
0,0,0,84,84,0,0,1
1,0,0,84,92,0,1,0
1,0,0,84,92,0,1,0
1,0,0,84,92,0,1,0
1,0,0,84,92,0,1,0
0,0,0,84,92,0,1,0
0,0,0,84,92,0,1,0
1,0,0,84,92,0,1,0
1,0,0,84,92,0,1,0
0,0,0,84,92,0,1,0
0,0,0,84,92,0,1,0
1,0,0,84,92,0,1,0
1,0,0,84,92,0,1,0
1,0,0,84,92,0,1,0
1,0,0,84,92,0,1,0
1,0,0,84,92,0,1,0
1,1,0,26,92,0,1,0
1,0,0,26,26,0,0,1
1,0,0,26,26,0,0,1
1,0,0,26,26,0,0,1
