int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,129,126,0,0,3
1,0,1,129,126,0,0,3
1,0,0,129,137,0,0,2
1,0,1,129,137,0,0,2
1,0,0,129,129,0,0,1
1,0,1,129,129,0,0,1
1,0,0,129,221,0,1,0
0,0,0,129,221,0,1,0
0,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
0,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,0,0,129,129,0,1,0
1,1,0,165,129,0,1,0
1,0,0,165,165,0,0,1
