int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,137,248,0,0,3
1,0,1,137,248,0,0,3
1,0,0,137,70,0,0,2
1,0,1,137,70,0,0,2
1,0,0,137,137,0,0,1
1,0,1,137,137,0,0,1
1,0,0,137,23,0,1,0
0,0,0,137,23,0,1,0
1,0,0,137,248,0,1,0
1,0,0,137,248,0,1,0
1,0,0,137,248,0,1,0
1,0,0,137,248,0,1,0
1,0,0,137,248,0,1,0
1,1,0,101,248,0,1,0
1,0,0,101,101,0,0,1
1,0,0,101,101,0,0,1
1,0,0,101,101,0,0,1
0,0,0,101,101,0,0,1
1,0,0,101,101,0,1,0
1,0,0,101,101,0,1,0
1,1,0,118,101,0,1,0
1,0,0,118,118,0,0,1
1,1,0,175,118,0,0,1
1,0,0,175,118,0,0,2
1,1,0,136,118,0,0,2
1,0,0,136,118,0,0,3
0,0,0,136,118,0,0,3
0,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
0,0,0,136,118,0,1,0
0,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
1,0,0,136,118,0,1,0
1,1,0,120,118,0,1,0
