int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,155,122,0,0,6
1,0,0,155,122,0,0,6
0,0,0,155,122,0,0,6
1,0,0,155,122,0,1,0
1,0,0,155,122,0,1,0
0,0,0,155,122,0,1,0
1,0,0,155,122,0,1,0
1,0,0,155,122,0,1,0
1,0,0,155,122,0,1,0
1,0,0,155,122,0,1,0
1,0,0,155,122,0,1,0
1,0,0,155,122,0,1,0
1,1,0,241,122,0,1,0
1,0,0,241,241,0,0,1
1,0,0,241,241,0,0,1
0,0,0,241,241,0,0,1
1,0,0,241,241,0,1,0
1,0,0,241,241,0,1,0
1,0,0,241,241,0,1,0
1,0,0,241,241,0,1,0
1,0,0,241,241,0,1,0
1,0,0,241,241,0,1,0
1,1,0,180,241,0,1,0
1,0,0,180,180,0,0,1
1,1,0,43,180,0,0,1
