int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,25,153,0,0,3
1,0,0,25,153,0,0,3
1,0,1,25,153,0,0,3
1,0,0,25,119,0,0,2
0,0,0,25,119,0,0,2
0,0,0,25,103,0,1,0
1,0,0,25,103,0,1,0
1,0,0,25,103,0,1,0
1,0,0,25,103,0,1,0
1,0,0,25,103,0,1,0
1,0,0,25,103,0,1,0
1,0,0,25,103,0,1,0
1,1,0,84,103,0,1,0
1,0,0,84,84,0,0,1
1,0,1,84,84,0,0,1
1,0,0,84,200,0,1,0
1,0,0,84,200,0,1,0
1,0,0,84,200,0,1,0
1,0,0,84,200,0,1,0
1,0,0,84,200,0,1,0
1,0,0,84,200,0,1,0
1,0,0,84,200,0,1,0
1,0,0,84,200,0,1,0
1,0,0,84,200,0,1,0
0,0,0,84,200,0,1,0
1,0,0,84,84,0,1,0
1,0,0,84,84,0,1,0
1,0,0,84,84,0,1,0
1,0,0,84,84,0,1,0
1,0,0,84,84,0,1,0
1,1,0,226,84,0,1,0
1,0,0,226,226,0,0,1
1,1,0,16,226,0,0,1
1,0,0,16,226,0,0,2
