int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,156,45,0,0,3
1,1,1,1,45,0,0,3
1,0,0,1,187,0,0,3
1,1,0,246,187,0,0,3
1,0,0,246,187,0,0,4
0,0,0,246,187,0,0,4
1,0,0,246,56,0,1,0
1,0,0,246,56,0,1,0
1,0,0,246,56,0,1,0
0,0,0,246,56,0,1,0
0,0,0,246,56,0,1,0
1,0,0,246,56,0,1,0
1,0,0,246,56,0,1,0
1,0,0,246,56,0,1,0
1,0,0,246,56,0,1,0
1,0,0,246,56,0,1,0
1,0,0,246,56,0,1,0
1,0,0,246,56,0,1,0
1,1,0,123,56,0,1,0
1,0,0,123,123,0,0,1
0,0,0,123,123,0,0,1
1,0,0,123,123,0,1,0
1,0,0,123,123,0,1,0
1,0,0,123,123,0,1,0
1,1,0,162,123,0,1,0
1,0,0,162,162,0,0,1
1,1,1,80,162,0,0,1
1,0,0,80,80,0,0,1
1,1,0,142,80,0,0,1
