int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,201,201,0,0,1
1,0,0,201,201,0,0,1
1,1,1,18,201,0,0,1
1,0,0,18,18,0,0,1
1,0,1,18,18,0,0,1
1,0,0,18,75,0,1,0
0,0,0,18,75,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
0,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
0,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
0,0,0,18,201,0,1,0
0,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
0,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,0,0,18,201,0,1,0
1,1,0,140,201,0,1,0
1,0,0,140,140,0,0,1
1,0,0,140,140,0,0,1
