int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,124,178,0,1,0
1,0,0,124,178,0,1,0
0,0,0,124,178,0,1,0
0,0,0,124,178,0,1,0
1,0,0,124,178,0,1,0
1,0,0,124,178,0,1,0
1,0,0,124,178,0,1,0
1,0,0,124,178,0,1,0
1,0,0,124,178,0,1,0
0,0,0,124,178,0,1,0
0,0,0,124,178,0,1,0
1,0,0,124,178,0,1,0
1,0,0,124,178,0,1,0
1,0,0,124,178,0,1,0
1,0,0,124,178,0,1,0
1,1,0,46,178,0,1,0
1,0,0,46,46,0,0,1
1,0,1,46,46,0,0,1
1,0,0,46,182,0,1,0
0,0,0,46,182,0,1,0
1,0,0,46,46,0,1,0
1,0,0,46,46,0,1,0
1,0,0,46,46,0,1,0
1,0,0,46,46,0,1,0
1,0,0,46,46,0,1,0
1,0,0,46,46,0,1,0
1,0,0,46,46,0,1,0
1,0,0,46,46,0,1,0
1,1,0,36,46,0,1,0
