int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,98,216,0,0,3
1,0,1,98,216,0,0,3
1,0,0,98,209,0,0,2
1,0,1,98,209,0,0,2
1,0,0,98,98,0,0,1
1,0,1,98,98,0,0,1
1,0,0,98,180,0,1,0
0,0,0,98,180,0,1,0
1,0,0,98,98,0,1,0
1,0,0,98,98,0,1,0
1,0,0,98,98,0,1,0
1,1,0,189,98,0,1,0
1,0,0,189,189,0,0,1
1,0,1,189,189,0,0,1
1,0,0,189,180,0,1,0
1,0,0,189,180,0,1,0
1,0,0,189,180,0,1,0
1,0,0,189,180,0,1,0
1,0,0,189,180,0,1,0
1,1,0,25,180,0,1,0
1,0,0,25,25,0,0,1
1,1,0,212,25,0,0,1
1,0,0,212,25,0,0,2
1,1,0,59,25,0,0,2
1,0,0,59,25,0,0,3
0,0,0,59,25,0,0,3
1,0,0,59,189,0,1,0
1,0,0,59,189,0,1,0
1,0,0,59,189,0,1,0
1,1,0,141,189,0,1,0
1,0,0,141,141,0,0,1
1,1,0,125,141,0,0,1
1,0,0,125,141,0,0,2
1,1,0,24,141,0,0,2
1,0,0,24,141,0,0,3
1,0,1,24,141,0,0,3
1,0,0,24,125,0,0,2
1,1,1,124,125,0,0,2
1,0,0,124,24,0,0,2
0,0,0,124,24,0,0,2
0,0,0,124,141,0,1,0
1,0,0,124,141,0,1,0
1,0,0,124,141,0,1,0
1,0,0,124,141,0,1,0
1,1,0,26,141,0,1,0
1,0,0,26,26,0,0,1
1,1,0,102,26,0,0,1
1,0,0,102,26,0,0,2
1,1,0,228,26,0,0,2
