int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,1,0,88,193,0,0,3
1,0,0,88,193,0,0,4
0,0,0,88,193,0,0,4
0,0,0,88,7,0,1,0
1,0,0,88,7,0,1,0
1,0,0,88,7,0,1,0
1,0,0,88,7,0,1,0
1,0,0,88,7,0,1,0
1,0,0,88,7,0,1,0
1,0,0,88,7,0,1,0
1,0,0,88,7,0,1,0
1,0,0,88,7,0,1,0
1,0,0,88,7,0,1,0
1,1,0,110,7,0,1,0
1,0,0,110,110,0,0,1
1,0,1,110,110,0,0,1
1,0,0,110,193,0,1,0
1,0,0,110,193,0,1,0
1,0,0,110,193,0,1,0
1,0,0,110,193,0,1,0
1,0,0,110,193,0,1,0
0,0,0,110,193,0,1,0
1,0,0,110,110,0,1,0
1,0,0,110,110,0,1,0
1,0,0,110,110,0,1,0
1,0,0,110,110,0,1,0
1,0,0,110,110,0,1,0
1,0,0,110,110,0,1,0
1,0,0,110,110,0,1,0
1,0,0,110,110,0,1,0
1,0,0,110,110,0,1,0
