int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,24,70,0,0,3
1,0,1,24,70,0,0,3
1,0,0,24,13,0,0,2
1,0,1,24,13,0,0,2
1,0,0,24,24,0,0,1
1,0,1,24,24,0,0,1
1,0,0,24,105,0,1,0
1,1,0,205,105,0,1,0
1,0,0,205,205,0,0,1
1,0,1,205,205,0,0,1
1,0,0,205,181,0,1,0
1,0,0,205,181,0,1,0
1,0,0,205,181,0,1,0
1,1,0,119,181,0,1,0
1,0,0,119,119,0,0,1
1,0,1,119,119,0,0,1
1,0,0,119,242,0,1,0
1,1,0,60,242,0,1,0
1,0,0,60,60,0,0,1
1,1,0,0,60,0,0,1
1,0,0,0,60,0,0,2
1,1,0,135,60,0,0,2
