int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,10,125,1,0,8
1,0,0,10,125,1,0,8
0,0,0,10,125,1,0,8
0,0,0,10,125,0,1,0
1,0,0,10,125,0,1,0
1,0,0,10,125,0,1,0
1,0,0,10,125,0,1,0
1,0,0,10,125,0,1,0
1,0,0,10,125,0,1,0
1,1,0,115,125,0,1,0
1,0,0,115,115,0,0,1
1,0,0,115,115,0,0,1
1,0,0,115,115,0,0,1
1,0,0,115,115,0,0,1
1,0,0,115,115,0,0,1
1,1,1,93,115,0,0,1
1,0,0,93,93,0,0,1
1,0,1,93,93,0,0,1
1,0,0,93,41,0,1,0
1,0,0,93,41,0,1,0
1,0,0,93,41,0,1,0
1,0,0,93,41,0,1,0
1,0,0,93,41,0,1,0
1,1,0,118,41,0,1,0
1,0,0,118,118,0,0,1
1,1,0,222,118,0,0,1
1,0,0,222,118,0,0,2
