int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,203,201,0,0,3
1,0,1,203,201,0,0,3
1,0,0,203,202,0,0,2
1,0,1,203,202,0,0,2
1,0,0,203,203,0,0,1
1,0,1,203,203,0,0,1
1,0,0,203,100,0,1,0
1,0,0,203,100,0,1,0
1,0,0,203,100,0,1,0
1,1,0,194,100,0,1,0
1,0,0,194,194,0,0,1
1,1,0,45,194,0,0,1
1,0,0,45,194,0,0,2
1,0,1,45,194,0,0,2
1,0,0,45,45,0,0,1
1,0,1,45,45,0,0,1
1,0,0,45,102,0,1,0
0,0,0,45,102,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
0,0,0,45,103,0,1,0
0,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
0,0,0,45,103,0,1,0
0,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
1,0,0,45,103,0,1,0
