int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
10,6832,18981,218624,0,0
30,24242,0,1,1,0
28,54068,23,1,1,0
10,51609,6,3302976,0,0
