int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
27,31551,33384,0,0,0
1,7478,26,7452,0,0
33,21493,24,21493,1,0
34,695,24,695,1,0
