int operator_i,int operand_a_i,int operand_b_i,int result_o,int comparison_result_o,int is_equal_result_o
1,12487,63310,4294916473,0,0
27,50584,28704,1,1,0
27,29297,1,1,1,0
30,27414,3037,1,1,0
